# Parameter;FmiLevelId;Units;Alias1;Alias2;Alias3;
change_over_time_in_sea_water_density;;1;kg m-3;;;
change_over_time_in_sea_water_neutral_density;;1;kg m-3;;;
change_over_time_in_sea_water_potential_density;;1;kg m-3;;;
change_over_time_in_sea_water_potential_temperature;;1;K;;;
change_over_time_in_sea_water_practical_salinity;;1;1;;;
change_over_time_in_sea_water_preformed_salinity;;1;g kg-1;;;
change_over_time_in_sea_water_salinity;;1;1.00E-03;;;
change_over_time_in_sea_water_specific_potential_enthalpy;;1;J kg-1;;;
change_over_time_in_sea_water_temperature;;1;K;;;
change_over_time_in_surface_snow_amount;;1;kg m-2;;;
change_over_time_in_thermal_energy_content_of_ice_and_snow_on_land;;1;J m-2;;;
change_over_time_in_thermal_energy_content_of_vegetation_and_litter_and_soil;;1;J m-2;;;
charnock_coefficient_for_surface_roughness_length_for_momentum_in_air;;1;1;;;
clear_sky_area_fraction;;1;1;;;
climatology_test_quality_flag;;1;1;;;
cloud_albedo;;1;1;;;
cloud_area_fraction;;1;1;;;
cloud_area_fraction_in_atmosphere_layer;;1;1;;;
cloud_base_altitude;;1;m;;;
cloud_binary_mask;;1;1;;;
cloud_ice_mixing_ratio;;1;1;;;
cloud_liquid_water_mixing_ratio;;1;1;;;
cloud_top_altitude;;1;m;;;
colony_forming_unit_number_concentration_of_biological_taxon_in_sea_water;;1;m-3;;;
compressive_strength_of_sea_ice;;1;Pa m;;;
concentration_of_colored_dissolved_organic_matter_in_sea_water_expressed_as_equivalent_mass_fraction_of_quinine_sulfate_dihydrate;;1;1;;;
convection_time_fraction;;1;1;;;
convective_cloud_area_fraction;;1;1;;;
convective_cloud_area_fraction_in_atmosphere_layer;;1;1;;;
convective_cloud_base_altitude;;1;m;;;
convective_cloud_base_height;;1;m;;;
convective_cloud_longwave_emissivity;;1;1;;;
convective_cloud_top_altitude;;1;m;;;
convective_cloud_top_height;;1;m;;;
convective_precipitation_amount;;1;kg m-2;;;
convective_precipitation_flux;;1;kg m-2 s-1;;;
convective_precipitation_rate;;1;m s-1;;;
convective_rainfall_amount;;1;kg m-2;;;
convective_rainfall_flux;;1;kg m-2 s-1;;;
convective_rainfall_rate;;1;m s-1;;;
convective_snowfall_amount;;1;kg m-2;;;
convective_snowfall_flux;;1;kg m-2 s-1;;;
coriolis_parameter;;1;s-1;;;
correction_for_model_negative_specific_humidity;;1;1;;;
covariance_over_longitude_of_northward_wind_and_air_temperature;;1;K m s-1;;;
depth;;1;m;;;
depth_at_maximum_upward_derivative_of_sea_water_potential_temperature;;1;m;;;
depth_at_shallowest_isotherm_defined_by_soil_temperature;;1;m;;;
depth_at_shallowest_local_minimum_in_vertical_profile_of_mole_concentration_of_dissolved_molecular_oxygen_in_sea_water;;1;m;;;
depth_below_geoid;;1;m;;;
depth_below_sea_floor;;1;m;;;
depth_of_isosurface_of_sea_water_potential_temperature;;1;m;;;
dew_point_depression;;1;K;;;
dew_point_temperature;;1;K;;;
diameter_of_ambient_aerosol_particles;;1;m;ambient_aerosol_particle_diameter;;
difference_of_air_pressure_from_model_reference;;1;Pa;;;
diffuse_downwelling_shortwave_flux_in_air;;1;W m-2;;;
diffuse_downwelling_shortwave_flux_in_air_assuming_clear_sky;;1;W m-2;;;
dimensionless_exner_function;;1;1;;;
direct_downwelling_shortwave_flux_in_air;;1;W m-2;;;
direction_of_radial_vector_away_from_instrument;;1;degree;;;
direction_of_radial_vector_toward_instrument;;1;degree;;;
direction_of_sea_ice_displacement;;1;degrees;;;
direction_of_sea_ice_velocity;;1;degree;;;
distance_from_geocenter;;1;m;;;
distance_from_sun;;1;m;;;
distance_from_tropical_cyclone_center_to_leading_edge_of_displaced_convection;;1;m;;;
divergence_of_sea_ice_velocity;;1;s-1;;;
divergence_of_wind;;1;s-1;;;
downward_air_velocity;;1;m s-1;;;
downward_dry_static_energy_flux_due_to_diffusion;;1;W m-2;;;
downward_eastward_momentum_flux_in_air;;1;Pa;;;
downward_eastward_momentum_flux_in_air_due_to_diffusion;;1;Pa;;;
downward_eastward_stress_at_sea_ice_base;;1;Pa;;;
downward_heat_flux_at_ground_level_in_snow;;1;W m-2;;;
downward_heat_flux_at_ground_level_in_soil;;1;W m-2;;;
downward_heat_flux_in_air;;1;W m-2;;;
downward_heat_flux_in_floating_ice;;1;W m-2;;;
downward_heat_flux_in_sea_ice;;1;W m-2;;;
downward_heat_flux_in_soil;;1;W m-2;;;
downward_liquid_water_mass_flux_into_groundwater;;1;kg m-2 s-1;;;
downward_northward_momentum_flux_in_air;;1;Pa;;;
downward_northward_momentum_flux_in_air_due_to_diffusion;;1;Pa;;;
downward_northward_stress_at_sea_ice_base;;1;Pa;;;
downward_sea_ice_basal_salt_flux;;1;kg m-2 s-1;;;
downward_water_vapor_flux_in_air_due_to_diffusion;;1;kg m-2 s-1;;;
downward_x_stress_at_sea_ice_base;;1;Pa;;;
downward_x_stress_at_sea_water_surface;;1;Pa;;;
downward_x_stress_correction_at_sea_water_surface;;1;Pa;;;
downward_y_stress_at_sea_ice_base;;1;Pa;;;
downward_y_stress_at_sea_water_surface;;1;Pa;;;
downward_y_stress_correction_at_sea_water_surface;;1;Pa;;;
downwelling_longwave_flux_in_air;;1;W m-2;;;
downwelling_longwave_flux_in_air_assuming_clear_sky;;1;W m-2;;;
downwelling_longwave_radiance_in_air;;1;W m-2 sr-1;;;
downwelling_photon_flux_in_sea_water;;1;mol m-2 s-1;;;
downwelling_photon_flux_per_unit_wavelength_in_sea_water;;1;mol m-2 s-1 m-1;downwelling_spectral_photon_flux_in_sea_water;;
downwelling_photon_radiance_in_sea_water;;1;mol m-2 s-1 sr-1;;;
downwelling_photon_radiance_per_unit_wavelength_in_sea_water;;1;mol m-2 s-1 m-1 sr-1;downwelling_spectral_photon_radiance_in_sea_water;;
downwelling_photon_spherical_irradiance_in_sea_water;;1;mol m-2 s-1;;;
downwelling_photon_spherical_irradiance_per_unit_wavelength_in_sea_water;;1;mol m-2 s-1 m-1;downwelling_spectral_photon_spherical_irradiance_in_sea_water;;
downwelling_photosynthetic_photon_flux_in_sea_water;;1;mol m-2 s-1;;;
downwelling_photosynthetic_photon_radiance_in_sea_water;;1;mol m-2 s-1 sr-1;;;
downwelling_photosynthetic_photon_spherical_irradiance_in_sea_water;;1;mol m-2 s-1;;;
downwelling_photosynthetic_radiance_in_sea_water;;1;W m-2 sr-1;;;
downwelling_photosynthetic_radiative_flux_in_sea_water;;1;W m-2;;;
downwelling_photosynthetic_spherical_irradiance_in_sea_water;;1;W m-2;;;
downwelling_radiance_in_sea_water;;1;W m-2 sr-1;;;
downwelling_radiance_per_unit_wavelength_in_air;;1;W m-2 m-1 sr-1;downwelling_spectral_radiance_in_air;;
downwelling_radiance_per_unit_wavelength_in_sea_water;;1;W m-2 m-1 sr-1;downwelling_spectral_radiance_in_sea_water;;
downwelling_radiative_flux_in_sea_water;;1;W m-2;;;
downwelling_radiative_flux_per_unit_wavelength_in_air;;1;;downwelling_spectral_radiative_flux_in_air;;
downwelling_spectral_radiative_flux_in_air;;1;W m-2 m-1;;;
downwelling_radiative_flux_per_unit_wavelength_in_sea_water;;1;W m-2 m-1;downwelling_spectral_radiative_flux_in_sea_water;;
downwelling_shortwave_flux_in_air;;1;W m-2;;;
downwelling_shortwave_flux_in_air_assuming_clear_sky;;1;W m-2;;;
downwelling_shortwave_flux_in_air_assuming_clear_sky_and_no_aerosol;;1;W m-2;downwelling_shortwave_flux_in_air_assuming_clean_clear_sky;;
downwelling_shortwave_flux_in_sea_water;;1;W m-2;;;
downwelling_shortwave_flux_in_sea_water_at_sea_ice_base;;1;W m-2;;;
downwelling_shortwave_radiance_in_air;;1;W m-2 sr-1;;;
downwelling_spherical_irradiance_in_sea_water;;1;W m-2;;;
downwelling_spherical_irradiance_per_unit_wavelength_in_sea_water;;1;W m-2 m-1;downwelling_spectral_spherical_irradiance_in_sea_water;;
dry_atmosphere_mole_fraction_of_methane;;1;1;;;
dry_energy_content_of_atmosphere_layer;;1;J m-2;;;
dry_static_energy_content_of_atmosphere_layer;;1;J m-2;;;
duration_of_sunshine;;1;s;;;
dvorak_tropical_cyclone_current_intensity_number;;1;1;;;
dvorak_tropical_number;;1;1;;;
dynamic_tropopause_potential_temperature;;1;K;;;
eastward_air_velocity_relative_to_sea_water;;1;m s-1;;;
eastward_atmosphere_dry_static_energy_transport_across_unit_distance;;1;W m-1;;;
eastward_atmosphere_water_transport_across_unit_distance;;1;kg s-1 m-1;;;
eastward_atmosphere_water_vapor_transport_across_unit_distance;;1;kg m-1 s-1;;;
eastward_derivative_of_eastward_wind;;1;s-1;;;
eastward_derivative_of_northward_sea_ice_velocity;;1;s-1;;;
eastward_derivative_of_northward_wind;;1;s-1;;;
eastward_derivative_of_wind_from_direction;;1;degree m-1;;;
eastward_flood_water_velocity;;1;m s-1;;;
eastward_land_ice_velocity;;1;m s-1;;;
eastward_mass_flux_of_air;;1;kg m-2 s-1;;;
eastward_momentum_flux_correction;;1;Pa;;;
eastward_sea_ice_displacement;;1;m;;;
eastward_sea_ice_velocity;;1;m s-1;;;
eastward_sea_water_velocity;;1;m s-1;;;
eastward_sea_water_velocity_assuming_no_tide;;1;m s-1;;;
eastward_sea_water_velocity_at_sea_floor;;1;m s-1;;;
eastward_sea_water_velocity_due_to_parameterized_mesoscale_eddies;;1;m s-1;bolus_eastward_sea_water_velocity;;
eastward_sea_water_velocity_due_to_tides;;1;m s-1;;;
eastward_transformed_eulerian_mean_air_velocity;;1;m s-1;eastward_transformed_eulerian_mean_velocity;;
eastward_water_vapor_flux_in_air;;1;kg m-2 s-1;eastward_water_vapor_flux;;
eastward_water_vapor_transport_across_unit_distance_in_atmosphere_layer;;1;kg m-1 s-1;;;
eastward_wind;;1;m s-1;;;
eastward_wind_shear;;1;s-1;;;
effective_radius_of_cloud_condensed_water_particles_at_cloud_top;;1;m;;;
effective_radius_of_cloud_liquid_water_particles;;1;m;effective_radius_of_cloud_liquid_water_particle;;
effective_radius_of_cloud_liquid_water_particles_at_liquid_water_cloud_top;;1;m;effective_radius_of_cloud_liquid_water_particle_at_liquid_water_cloud_top;;
effective_radius_of_convective_cloud_ice_particles;;1;m;effective_radius_of_convective_cloud_ice_particle;;
effective_radius_of_convective_cloud_liquid_water_particles;;1;m;effective_radius_of_convective_cloud_liquid_water_particle;;
effective_radius_of_convective_cloud_liquid_water_particles_at_convective_liquid_water_cloud_top;;1;m;effective_radius_of_convective_cloud_liquid_water_particle_at_convective_liquid_water_cloud_top;;
effective_radius_of_convective_cloud_rain_particles;;1;m;effective_radius_of_convective_cloud_rain_particle;;
effective_radius_of_convective_cloud_snow_particles;;1;m;effective_radius_of_convective_cloud_snow_particle;;
effective_radius_of_stratiform_cloud_graupel_particles;;1;m;effective_radius_of_stratiform_cloud_graupel_particle;;
effective_radius_of_stratiform_cloud_ice_particles;;1;m;effective_radius_of_stratiform_cloud_ice_particle;;
effective_radius_of_stratiform_cloud_liquid_water_particles;;1;m;effective_radius_of_stratiform_cloud_liquid_water_particle;;
effective_radius_of_stratiform_cloud_liquid_water_particles_at_stratiform_liquid_water_cloud_top;;1;m;effective_radius_of_stratiform_cloud_liquid_water_particle_at_stratiform_liquid_water_cloud_top;;
effective_radius_of_stratiform_cloud_rain_particles;;1;m;effective_radius_of_stratiform_cloud_rain_particle;;
effective_radius_of_stratiform_cloud_snow_particles;;1;m;effective_radius_of_stratiform_cloud_snow_particle;;
electrical_mobility_diameter_of_ambient_aerosol_particles;;1;m;electrical_mobility_particle_diameter;;
enrichment_of_14C_in_carbon_dioxide_in_air_expressed_as_uppercase_delta_14C;;1;1.00E-03;;;
enthalpy_content_of_atmosphere_layer;;1;J m-2;;;
equilibrium_line_altitude;;1;m;;;
equivalent_pressure_of_atmosphere_ozone_content;;1;Pa;;;
equivalent_reflectivity_factor;;1;dBZ;;;
equivalent_thickness_at_stp_of_atmosphere_ozone_content;;1;m;equivalent_thickness_at_stp_of_atmosphere_o3_content;;
ertel_potential_vorticity;;1;K m2 kg-1 s-1;;;
fast_soil_pool_mass_content_of_carbon;;1;kg m-2;fast_soil_pool_carbon_content;;
final_air_pressure_of_lifted_parcel;;1;Pa;;;
fire_area;;1;m2;;;
fire_radiative_power;;1;W;;;
fire_temperature;;1;K;;;
flat_line_test_quality_flag;;1;1;;;
floating_ice_shelf_area;;1;m2;;;
floating_ice_shelf_area_fraction;;1;1;floating_ice_sheet_area_fraction;;
floating_ice_thickness;;1;m;;;
flood_water_duration_above_threshold;;1;s;;;
flood_water_speed;;1;m s-1;;;
flood_water_thickness;;1;m;;;
fog_area_fraction;;1;1;;;
forecast_period;;1;s;;;
forecast_reference_time;;1;s;;;
fractional_saturation_of_oxygen_in_sea_water;;1;1;;;
fraction_of_surface_downwelling_photosynthetic_radiative_flux_absorbed_by_vegetation;;1;1;;;
fraction_of_time_with_sea_ice_area_fraction_above_threshold;;1;1;;;
freezing_level_altitude;;1;m;;;
freezing_temperature_of_sea_water;;1;K;;;
frequency_of_lightning_flashes_per_unit_area;;1;m-2 s-1;;;
frozen_water_content_of_soil_layer;;1;kg m-2;;;
fugacity_of_carbon_dioxide_in_sea_water;;1;Pa;;;
gap_test_quality_flag;;1;1;;;
geoid_height_above_reference_ellipsoid;;1;m;;;
geopotential;;1;m2 s-2;;;
geopotential_height;;1;m;;;
geopotential_height_anomaly;;1;m;;;
geopotential_height_at_cloud_top;;1;m;;;
geopotential_height_at_volcanic_ash_cloud_top;;1;m;;;
geostrophic_eastward_sea_water_velocity;;1;m s-1;;;
geostrophic_eastward_wind;;1;m s-1;;;
geostrophic_northward_sea_water_velocity;;1;m s-1;;;
geostrophic_northward_wind;;1;m s-1;;;
global_average_sea_level_change;;1;m;;;
global_average_steric_sea_level_change;;1;m;;;
global_average_thermosteric_sea_level_change;;1;m;;;
graupel_and_hail_fall_amount;;1;kg m-2;;;
graupel_and_hail_fall_flux;;1;kg m-2 s-1;;;
graupel_fall_amount;;1;kg m-2;;;
graupel_fall_flux;;1;kg m-2 s-1;;;
grid_latitude;;1;degree;;;
grid_longitude;;1;degree;;;
gross_primary_productivity_of_biomass_expressed_as_13C;;1;kg m-2 s-1;;;
gross_primary_productivity_of_biomass_expressed_as_14C;;1;kg m-2 s-1;;;
gross_primary_productivity_of_biomass_expressed_as_carbon;;1;kg m-2 s-1;gross_primary_productivity_of_carbon;;
gross_range_test_quality_flag;;1;1;;;
gross_rate_of_decrease_in_area_fraction;;1;s-1;;;
gross_rate_of_increase_in_area_fraction;;1;s-1;;;
grounded_ice_sheet_area;;1;m2;;;
grounded_ice_sheet_area_fraction;;1;1;;;
ground_level_altitude;;1;m;;;
growth_limitation_of_calcareous_phytoplankton_due_to_solar_irradiance;;1;1;;;
growth_limitation_of_diatoms_due_to_solar_irradiance;;1;1;;;
growth_limitation_of_diazotrophic_phytoplankton_due_to_solar_irradiance;;1;1;growth_limitation_of_diazotrophs_due_to_solar_irradiance;;
growth_limitation_of_miscellaneous_phytoplankton_due_to_solar_irradiance;;1;1;;;
growth_limitation_of_picophytoplankton_due_to_solar_irradiance;;1;1;;;
hail_fall_amount;;1;kg m-2;;;
hail_fall_flux;;1;kg m-2 s-1;;;
halosteric_change_in_mean_sea_level;;1;m;;;
halosteric_change_in_sea_surface_height;;1;m;;;
harmonic_period;;1;s;;;
heat_flux_correction;;1;W m-2;;;
heat_flux_into_sea_water_due_to_freezing_of_frazil_ice;;1;W m-2;;;
heat_flux_into_sea_water_due_to_iceberg_thermodynamics;;1;W m-2;;;
heat_flux_into_sea_water_due_to_newtonian_relaxation;;1;W m-2;;;
heat_flux_into_sea_water_due_to_sea_ice_thermodynamics;;1;W m-2;;;
heat_flux_into_sea_water_due_to_snow_thermodynamics;;1;W m-2;;;
heat_index_of_air_temperature;;1;K;;;
height;;1;m;;;
height_above_geopotential_datum;;1;m;;;
height_above_geopotential_datum_at_top_of_atmosphere_model;;1;m;;;
height_above_mean_sea_level;;1;m;;;
height_above_reference_ellipsoid;;1;m;;;
height_above_sea_floor;;1;m;;;
height_at_cloud_top;;1;m;;;
height_at_effective_cloud_top_defined_by_infrared_radiation;;1;m;;;
high_type_cloud_area_fraction;;1;1;;;
histogram_of_backscattering_ratio_in_air_over_height_above_reference_ellipsoid;;1;1;histogram_of_backscattering_ratio_over_height_above_reference_ellipsoid;;
histogram_of_equivalent_reflectivity_factor_over_height_above_reference_ellipsoid;;1;1;;;
horizontal_atmosphere_dry_energy_transport;;1;W m-2;;;
horizontal_dry_energy_transport_in_atmosphere_layer;;1;W m-2;;;
humidity_mixing_ratio;;1;1;;;
ice_cloud_area_fraction;;1;1;;;
ice_cloud_area_fraction_in_atmosphere_layer;;1;1;;;
incoming_water_volume_transport_along_river_channel;;1;m3 s-1;river_water_volume_transport_into_cell;;
indicative_error_from_multibeam_acoustic_doppler_velocity_profiler_in_sea_water;;1;m s-1;;;
integral_wrt_depth_of_product_of_conservative_temperature_and_sea_water_density;;1;kg degree_C m-2;integral_wrt_depth_of_product_of_sea_water_density_and_conservative_temperature;;
integral_wrt_depth_of_product_of_potential_temperature_and_sea_water_density;;1;kg degree_C m-2;integral_wrt_depth_of_product_of_sea_water_density_and_potential_temperature;;
integral_wrt_depth_of_product_of_salinity_and_sea_water_density;;1;1e-3 kg m-2;integral_wrt_depth_of_product_of_sea_water_density_and_salinity;;
integral_wrt_depth_of_sea_water_practical_salinity;;1;m;integral_of_sea_water_practical_salinity_wrt_depth;;
integral_of_sea_water_temperature_wrt_depth_in_ocean_layer;;1;K m;ocean_integral_of_sea_water_temperature_wrt_depth;;
integral_wrt_depth_of_tendency_of_sea_water_alkalinity_expressed_as_mole_equivalent;;1;mol m-2 s-1;;;
integral_wrt_depth_of_tendency_of_sea_water_alkalinity_expressed_as_mole_equivalent_due_to_biological_processes;;1;mol m-2 s-1;;;
integral_wrt_height_of_product_of_eastward_wind_and_specific_humidity;;1;m2 s-1;integral_of_product_of_eastward_wind_and_specific_humidity_wrt_height;;
integral_wrt_height_of_product_of_northward_wind_and_specific_humidity;;1;m2 s-1;integral_of_product_of_northward_wind_and_specific_humidity_wrt_height;;
integral_wrt_time_of_air_temperature_deficit;;1;K s;integral_of_air_temperature_deficit_wrt_time;;
integral_wrt_time_of_air_temperature_excess;;1;K s;integral_of_air_temperature_excess_wrt_time;;
integral_wrt_time_of_mole_stomatal_uptake_of_ozone;;1;mol m-2;;;
integral_wrt_time_of_radioactivity_concentration_in_air;;1;Bq s m-3;;;
integral_wrt_time_of_radioactivity_concentration_of_101Mo_in_air;;1;Bq s m-3;;;
integral_wrt_time_of_radioactivity_concentration_of_101Tc_in_air;;1;Bq s m-3;;;
integral_wrt_time_of_radioactivity_concentration_of_102Mo_in_air;;1;Bq s m-3;;;
integral_wrt_time_of_radioactivity_concentration_of_102mTc_in_air;;1;Bq s m-3;;;
integral_wrt_time_of_radioactivity_concentration_of_102Tc_in_air;;1;Bq s m-3;;;
integral_wrt_time_of_radioactivity_concentration_of_103mRh_in_air;;1;Bq s m-3;;;
integral_wrt_time_of_radioactivity_concentration_of_103Ru_in_air;;1;Bq s m-3;;;
integral_wrt_time_of_radioactivity_concentration_of_104Tc_in_air;;1;Bq s m-3;;;
integral_wrt_time_of_radioactivity_concentration_of_105mRh_in_air;;1;Bq s m-3;;;
integral_wrt_time_of_radioactivity_concentration_of_105Rh_in_air;;1;Bq s m-3;;;
integral_wrt_time_of_radioactivity_concentration_of_105Ru_in_air;;1;Bq s m-3;;;
integral_wrt_time_of_radioactivity_concentration_of_106mRh_in_air;;1;Bq s m-3;;;
integral_wrt_time_of_radioactivity_concentration_of_106Rh_in_air;;1;Bq s m-3;;;
integral_wrt_time_of_radioactivity_concentration_of_106Ru_in_air;;1;Bq s m-3;;;
integral_wrt_time_of_radioactivity_concentration_of_107mPd_in_air;;1;Bq s m-3;;;
integral_wrt_time_of_radioactivity_concentration_of_107Pd_in_air;;1;Bq s m-3;;;
integral_wrt_time_of_radioactivity_concentration_of_107Rh_in_air;;1;Bq s m-3;;;
integral_wrt_time_of_radioactivity_concentration_of_109mAg_in_air;;1;Bq s m-3;;;
integral_wrt_time_of_radioactivity_concentration_of_109Pd_in_air;;1;Bq s m-3;;;
integral_wrt_time_of_radioactivity_concentration_of_110mAg_in_air;;1;Bq s m-3;;;
integral_wrt_time_of_radioactivity_concentration_of_111Ag_in_air;;1;Bq s m-3;;;
integral_wrt_time_of_radioactivity_concentration_of_111mAg_in_air;;1;Bq s m-3;;;
integral_wrt_time_of_radioactivity_concentration_of_111mCd_in_air;;1;Bq s m-3;;;
integral_wrt_time_of_radioactivity_concentration_of_111mPd_in_air;;1;Bq s m-3;;;
integral_wrt_time_of_radioactivity_concentration_of_111Pd_in_air;;1;Bq s m-3;;;
integral_wrt_time_of_radioactivity_concentration_of_112Ag_in_air;;1;Bq s m-3;;;
integral_wrt_time_of_radioactivity_concentration_of_112Pd_in_air;;1;Bq s m-3;;;
integral_wrt_time_of_radioactivity_concentration_of_113Ag_in_air;;1;Bq s m-3;;;
integral_wrt_time_of_radioactivity_concentration_of_113Cd_in_air;;1;Bq s m-3;;;
integral_wrt_time_of_radioactivity_concentration_of_113mAg_in_air;;1;Bq s m-3;;;
integral_wrt_time_of_radioactivity_concentration_of_113mCd_in_air;;1;Bq s m-3;;;
integral_wrt_time_of_radioactivity_concentration_of_113mIn_in_air;;1;Bq s m-3;;;
integral_wrt_time_of_radioactivity_concentration_of_115Ag_in_air;;1;Bq s m-3;;;
integral_wrt_time_of_radioactivity_concentration_of_115Cd_in_air;;1;Bq s m-3;;;
integral_wrt_time_of_radioactivity_concentration_of_115In_in_air;;1;Bq s m-3;;;
integral_wrt_time_of_radioactivity_concentration_of_115mAg_in_air;;1;Bq s m-3;;;
integral_wrt_time_of_radioactivity_concentration_of_115mCd_in_air;;1;Bq s m-3;;;
integral_wrt_time_of_radioactivity_concentration_of_115mIn_in_air;;1;Bq s m-3;;;
integral_wrt_time_of_radioactivity_concentration_of_116In_in_air;;1;Bq s m-3;;;
integral_wrt_time_of_radioactivity_concentration_of_116mIn_in_air;;1;Bq s m-3;;;
integral_wrt_time_of_radioactivity_concentration_of_117Cd_in_air;;1;Bq s m-3;;;
integral_wrt_time_of_radioactivity_concentration_of_117In_in_air;;1;Bq s m-3;;;
integral_wrt_time_of_radioactivity_concentration_of_117mCd_in_air;;1;Bq s m-3;;;
integral_wrt_time_of_radioactivity_concentration_of_117mIn_in_air;;1;Bq s m-3;;;
integral_wrt_time_of_radioactivity_concentration_of_117mSn_in_air;;1;Bq s m-3;;;
integral_wrt_time_of_radioactivity_concentration_of_118Cd_in_air;;1;Bq s m-3;;;
integral_wrt_time_of_radioactivity_concentration_of_118In_in_air;;1;Bq s m-3;;;
integral_wrt_time_of_radioactivity_concentration_of_118mIn_in_air;;1;Bq s m-3;;;
integral_wrt_time_of_radioactivity_concentration_of_119In_in_air;;1;Bq s m-3;;;
integral_wrt_time_of_radioactivity_concentration_of_119mIn_in_air;;1;Bq s m-3;;;
